District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Blue Hills Regional Vocational Technical,08060000,       498,     2.4,     1.2,       497,    97.8
Braintree,00400000,"     4,085",     3.6,     1.6,"     4,035",    97.8
Carver,00520000,"     1,526",     5.1,     3.3,"     1,480",    97.8
Dedham,00730000,"     1,911",     4.4,     2.9,"     1,870",    97.8
Hadley,01170000,       427,     4.2,     2.3,       418,    97.8
Minuteman Regional Vocational Technical,08300000,       415,     3.9,     1.9,       408,    97.8
Old Colony Regional Vocational Technical,08550000,       512,     2.7,     0.8,       509,    97.8
Bedford,00230000,"     1,753",     3.7,     2.2,"     1,729",    97.7
Medfield,01750000,"     2,288",     3.0,     2.7,"     2,271",    97.7
Natick,01980000,"     4,233",     3.3,     2.5,"     4,193",    97.7
Nauset,06600000,"     1,295",     3.4,     1.2,"     1,280",    97.7
Pembroke,02310000,"     2,741",     3.9,     2.0,"     2,698",    97.7
Tyngsborough,03010000,"     1,358",     3.4,     1.6,"     1,343",    97.7
Beverly,00300000,"     3,596",     4.4,     2.8,"     3,526",    97.6
Conway,00680000,       125,     2.4,     2.4,       125,    97.6
Dighton-Rehoboth,06500000,"     2,669",     4.8,     3.3,"     2,605",    97.6
Dudley-Charlton Reg,06580000,"     3,346",     4.9,     2.7,"     3,265",    97.6
Nashoba,07250000,"     2,882",     4.0,     2.6,"     2,835",    97.6
Newburyport,02040000,"     2,085",     3.9,     2.1,"     2,053",    97.6
North Andover,02110000,"     3,612",     3.9,     2.1,"     3,561",    97.6
Brimfield,00430000,       285,     5.6,     3.9,       276,    97.5
Chelmsford,00560000,"     3,687",     4.4,     2.8,"     3,619",    97.5
Freetown-Lakeville,06650000,"     2,695",     4.8,     2.7,"     2,634",    97.5
Hatfield,01270000,       416,     6.0,     4.1,       401,    97.5
Mendon-Upton,07100000,"     2,111",     3.9,     2.5,"     2,080",    97.5
Nantucket,01970000,       898,     4.2,     2.2,       882,    97.5
Nashoba Valley Regional Vocational Technical,08520000,       619,     3.6,     1.8,       612,    97.5
Reading,02460000,"     3,701",     3.6,     2.9,"     3,658",    97.5
Richmond,02490000,       161,     5.0,     2.5,       157,    97.5
Somerset Berkley Regional School District,07630000,       975,     3.7,     1.2,       963,    97.5
Tri-County Regional Vocational Technical,08780000,       905,     2.5,     0.0,       905,    97.5
Holbrook,01330000,       689,     6.2,     4.2,       663,    97.4
Norwood,02200000,"     2,289",     5.1,     2.7,"     2,235",    97.4
West Bridgewater,03230000,"     1,195",     4.1,     2.4,"     1,176",    97.4
Dartmouth,00720000,"     3,257",     4.2,     1.9,"     3,205",    97.3
Douglas,00770000,"     1,215",     4.7,     2.3,"     1,190",    97.3
Old Rochester,07400000,"     1,115",     3.4,     1.3,"     1,107",    97.3
