District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Libertas Academy Charter School (District),35140000,,,,,,,  11.5,   9.2,,,,,  10.3
Lincoln,01570000,  19.6,  11.5,  19.7,  17.6,  11.3,  18.3,  12.2,  15.6,,,,,  15.7
Lincoln-Sudbury,06950000,,,,,,,,,,   1.9,   3.0,   2.1,   2.3
Littleton,01580000,   7.0,  11.1,   5.8,  10.9,   4.6,   5.1,  11.3,   2.4,  13.6,   2.7,   3.0,   2.8,   6.8
Longmeadow,01590000,   6.7,   7.7,   8.1,   5.0,   6.0,   5.0,   3.4,   2.7,   8.8,   2.8,   4.0,   2.7,   5.2
Lowell,01600000,   5.5,   6.0,   5.8,   3.9,   8.4,   5.3,   4.1,   4.1,  40.2,   4.1,   4.2,   3.0,   8.3
Lowell Community Charter Public (District),04560000,   5.2,   4.2,   5.5,   4.4,   4.5,   3.4,   0.0,   5.5,,,,,   4.2
Lowell Middlesex Academy Charter (District),04580000,,,,,,,,,,   0.0,   4.3,   0.0,   1.4
Ludlow,01610000,   9.6,   5.3,   7.6,   5.6,   2.4,   5.4,   4.8,   2.5,   6.0,   3.9,   2.7,   1.0,   4.5
Lunenburg,01620000,  16.3,  11.0,   8.4,   8.4,   7.9,   3.4,   4.3,   6.3,  18.2,   0.0,   3.3,   3.4,   7.8
Lynn,01630000,   6.2,   6.3,   5.9,   5.5,   4.9,   7.9,   6.4,   4.0,   8.0,   4.2,   4.7,   3.3,   5.6
Lynnfield,01640000,   6.4,   3.0,   2.1,   2.5,   3.1,   5.9,   4.8,   2.5,  17.0,   2.2,   2.1,   1.8,   4.5
MATCH Charter Public School (District),04690000,   5.5,   1.0,   6.2,   7.2,   9.5,   9.3,   8.6,   8.9,  12.9,   2.3,   2.5,   4.3,   6.6
Ma Academy for Math and Science,04680000,,,,,,,,,,,,   2.0,   2.0
Malden,01650000,   8.5,   7.5,   7.5,   5.2,   8.0,   6.9,   8.1,   7.3,  20.8,   6.4,   7.4,   4.7,   8.3
Manchester Essex Regional,06980000,   9.6,  14.5,   7.0,  14.1,  12.5,   4.9,   5.1,   2.3,  19.5,   5.6,   4.0,   1.7,   7.9
Mansfield,01670000,   8.1,   4.8,   6.2,   7.5,   3.4,   4.6,   2.1,   4.1,  11.2,   2.6,   1.4,   2.1,   4.7
Map Academy Charter School (District),35170000,,,,,,,,,,  10.2,   0.0,   5.8,   5.8
Marblehead,01680000,  13.0,   8.5,  10.1,  18.9,   8.9,  10.0,   3.1,   5.0,  12.7,   5.1,   5.1,   1.6,   8.4
Marblehead Community Charter Public (District),04640000,,,,,  18.8,  11.5,  50.0,   5.3,,,,,  24.6
Marion,01690000,  12.3,   8.3,   7.1,  11.9,   6.3,   4.9,,,,,,,   8.4
Marlborough,01700000,   7.1,   7.3,   9.4,   9.8,   7.1,  13.5,   5.4,   3.8,  39.4,   6.3,   5.7,   3.4,   9.6
Marshfield,01710000,   6.5,   6.6,   4.9,   3.0,   2.2,   4.3,   4.8,   3.9,   8.6,   2.7,   1.2,   1.0,   4.0
