District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Cape Cod Regional Vocational Technical,08150000,       633,     7.1,     2.1,       623,    94.4
Carlisle,00510000,       608,     2.3,     1.3,       601,    98.8
Carver,00520000,"     1,627",     6.8,     3.3,"     1,581",    96.0
Central Berkshire,06350000,"     1,608",     5.2,     2.9,"     1,574",    97.0
Chelmsford,00560000,"     5,152",     5.2,     3.3,"     5,034",    97.3
Chelsea,00570000,"     6,751",    16.1,    10.3,"     6,405",    88.7
Chesterfield-Goshen,06320000,       134,     6.0,     4.5,       128,    98.4
Chicopee,00610000,"     7,634",    12.0,     6.8,"     7,321",    92.9
Christa McAuliffe Charter Public (District),04180000,       404,     5.2,     2.2,       404,    94.8
City on a Hill Charter Public School Circuit Street (District),04370000,       248,    21.4,     2.4,       242,    80.6
City on a Hill Charter Public School Dudley Square (District),35040000,       214,    18.7,     4.2,       206,    84.5
City on a Hill Charter Public School New Bedford (District),35070000,       173,    54.9,     2.3,       171,    45.6
Clarksburg,00630000,       204,     7.4,     2.9,       199,    95.0
Clinton,00640000,"     2,001",     8.9,     5.8,"     1,913",    95.3
Codman Academy Charter Public (District),04380000,       361,    15.5,    12.5,       343,    88.9
Cohasset,00650000,"     1,508",     2.1,     1.5,"     1,499",    98.5
Collegiate Charter School of Lowell (District),35030000,       977,    12.4,     8.4,       948,    90.3
Community Charter School of Cambridge (District),04360000,       333,     5.4,     1.8,       330,    95.5
Community Day Charter Public School - Gateway (District),04260000,       401,     0.2,     0.0,       401,    99.8
Community Day Charter Public School - Prospect (District),04400000,       400,     1.3,     1.3,       400,    98.8
Community Day Charter Public School - R. Kingman Webster (District),04310000,       402,     1.5,     1.0,       401,    98.8
Concord,00670000,"     2,143",     3.4,     2.2,"     2,098",    98.9
Concord-Carlisle,06400000,"     1,292",     1.9,     1.0,"     1,284",    98.7
Conservatory Lab Charter (District),04390000,       467,     8.4,     5.6,       460,    93.0
Conway,00680000,       134,     3.0,     1.5,       133,    97.7
Danvers,00710000,"     3,497",     4.6,     2.9,"     3,419",    97.7
Dartmouth,00720000,"     3,650",     3.7,     1.7,"     3,602",    97.6
Dedham,00730000,"     2,799",     4.5,     2.5,"     2,744",    97.4
Deerfield,00740000,       391,     7.4,     6.9,       385,    94.0
Dennis-Yarmouth,06450000,"     3,046",    10.6,     5.9,"     2,930",    93.1
Dighton-Rehoboth,06500000,"     2,906",     3.4,     1.9,"     2,864",    98.0
Douglas,00770000,"     1,302",     3.5,     1.6,"     1,286",    97.8
Dover,00780000,       503,     3.2,     2.6,       490,    99.4
Dover-Sherborn,06550000,"     1,206",     2.1,     0.3,"     1,205",    98.1
Dracut,00790000,"     3,827",     7.8,     5.1,"     3,705",    95.5
Dudley Street Neighborhood Charter School (District),04070000,       274,     4.0,     0.4,       274,    96.0
Dudley-Charlton Reg,06580000,"     3,817",     5.7,     3.2,"     3,720",    96.7
Duxbury,00820000,"     3,014",     3.1,     2.1,"     2,975",    98.2
East Bridgewater,00830000,"     2,251",     3.6,     1.7,"     2,223",    97.6
East Longmeadow,00870000,"     2,620",     3.3,     1.9,"     2,593",    97.7
Eastham,00850000,       206,     7.8,     6.3,       194,    97.9
Easthampton,00860000,"     1,588",     7.9,     5.2,"     1,550",    94.6
Easton,00880000,"     3,655",     4.2,     3.1,"     3,582",    97.7
Edgartown,00890000,       420,    13.1,    10.5,       395,    92.4
