District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Dudley Street Neighborhood Charter School (District),04070000,       322,    18.9,     8.4,       308,    84.7
Dudley-Charlton Reg,06580000,"     4,043",     5.8,     3.3,"     3,937",    96.8
Duxbury,00820000,"     3,142",     2.7,     1.8,"     3,101",    98.6
East Bridgewater,00830000,"     2,343",     4.1,     2.1,"     2,303",    97.6
East Longmeadow,00870000,"     2,696",     3.9,     2.2,"     2,654",    97.6
Eastham,00850000,       188,    10.1,     9.6,       172,    98.3
Easthampton,00860000,"     1,617",     7.2,     4.1,"     1,567",    95.9
Easton,00880000,"     3,805",     4.6,     3.3,"     3,722",    97.6
Edgartown,00890000,       374,    13.6,     9.9,       343,    94.2
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,       385,     8.3,     3.1,       382,    92.4
Erving,00910000,       147,     4.8,     3.4,       142,    98.6
Essex North Shore Agricultural and Technical School District,08170000,"     1,387",     2.5,     0.6,"     1,383",    97.8
Everett,00930000,"     7,851",    19.0,    10.3,"     7,327",    87.7
Excel Academy Charter (District),04100000,"     1,162",     6.5,     3.4,"     1,150",    94.4
Fairhaven,00940000,"     2,121",     7.9,     4.4,"     2,068",    94.7
Fall River,00950000,"    10,986",    18.3,    10.5,"    10,148",    90.2
Falmouth,00960000,"     3,494",     8.6,     5.2,"     3,393",    94.4
Farmington River Reg,06620000,       130,    10.0,     6.9,       123,    95.1
Fitchburg,00970000,"     5,943",    20.3,    13.2,"     5,405",    88.6
Florida,00980000,        85,     9.4,     7.1,        80,    96.3
Four Rivers Charter Public (District),04130000,       225,     4.0,     1.3,       223,    96.9
Foxborough,00990000,"     2,662",     4.7,     3.0,"     2,601",    97.6
Foxborough Regional Charter (District),04460000,"     1,497",     5.4,     3.1,"     1,472",    96.2
Framingham,01000000,"     9,306",    12.4,     7.8,"     8,817",    92.8
Francis W. Parker Charter Essential (District),04780000,       404,     4.7,     3.0,       396,    97.2
Franklin,01010000,"     5,423",     4.3,     2.4,"     5,327",    97.6
Franklin County Regional Vocational Technical,08180000,       493,     6.1,     2.2,       486,    95.3
Freetown-Lakeville,06650000,"     2,898",     5.9,     3.6,"     2,815",    96.9
Frontier,06700000,       639,     5.8,     3.3,       629,    95.7
Gardner,01030000,"     2,526",    13.9,     8.5,"     2,350",    93.0
Gateway,06720000,       870,     9.8,     5.7,       834,    94.2
Georgetown,01050000,"     1,468",     8.4,     7.4,"     1,444",    93.1
Gill-Montague,06740000,"     1,020",     9.0,     5.1,       985,    94.3
Global Learning Charter Public (District),04960000,       513,     5.8,     2.9,       512,    94.3
Gloucester,01070000,"     3,007",     6.4,     3.9,"     2,918",    96.7
Grafton,01100000,"     3,253",     6.3,     4.1,"     3,166",    96.3
Granby,01110000,       724,     5.2,     4.1,       703,    97.6
Greater Fall River Regional Vocational Technical,08210000,"     1,415",     3.7,     1.0,"     1,407",    96.9
Greater Lawrence Regional Vocational Technical,08230000,"     1,531",     4.6,     1.4,"     1,521",    96.1
Greater Lowell Regional Vocational Technical,08280000,"     2,287",     5.1,     0.8,"     2,285",    95.0
Greater New Bedford Regional Vocational Technical,08250000,"     2,174",     2.8,     0.5,"     2,170",    97.4
Greenfield,01140000,"     1,801",    11.3,     6.8,"     1,702",    94.0
